treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.5179376592922792,0.29461434370771317,0.146405200187488,TripletProt
0.1,0.5179376592922792,0.36982441812984895,0.15212168421759223,TripletProt
0.15000000000000002,0.5179376592922792,0.414293864426119,0.15204231435323942,TripletProt
0.2,0.5179376592922792,0.4360656729053911,0.14453838174108752,TripletProt
0.25,0.5179376592922792,0.4448132217969994,0.13463335265074577,TripletProt
0.3,0.5179376592922792,0.4449035304533885,0.12178271495380612,TripletProt
0.35000000000000003,0.5179376592922792,0.44075453752873106,0.11267969754906601,TripletProt
0.4,0.5179376592922792,0.43342693097523155,0.10206527561629983,TripletProt
0.45,0.5179376592922792,0.42297558405058844,0.09329063855924691,TripletProt
0.5,0.5179376592922792,0.402643293102657,0.08336145888830841,TripletProt
